,Day,Date,Competition,Opposition,Ven,HT,FT,FT,Res,Scorers,Referee,Attendance,Ground,LPT,LPO,TP,TR,OP,OR,Captain,Opp Manager
33,Mon,"Mar 27, 2006",Prem,West Bromwich Albion,(h),0-1,2,1,W,"Keane 68, 89p (Davies 21)",C Foy,"36,152",White Hart Lane,4,,,,,,King,Bryan Robson
34,Sat,"Apr 1, 2006",Prem,Newcastle United,(a),1-3,1,3,L,"Keane 19 (Bowyer 2, Ameobi 25, Shearer 30p)",M Dean,"52,301",St James' Park,4,,,,,,Keane,Glenn Roeder (c)
35,Sat,"Apr 8, 2006",Prem,Manchester City,(h),1-0,2,1,W,"Stalteri 44, Carrick 49 (Samaras 52)",D Gallagher,"36,167",White Hart Lane,4,,,,,,King,Stuart Pearce
36,Sat,"Apr 15, 2006",Prem,Everton,(a),1-0,1,0,W,Keane 33p,H Webb,"39,856",Goodison Park,4,,,,,,King,David Moyes
37,Mon,"Apr 17, 2006",Prem,Manchester United,(h),0-2,1,2,L,"Jenas 53, (Rooney 8, 36)",M Halsey,"36,141",White Hart Lane,4,,,,,,Keane,Alex Ferguson
38,Sat,"Apr 22, 2006",Prem,Arsenal,(a),0-0,1,1,D,Keane 66 (Henry 84),S Bennett,"38,326",Highbury,4,,,,,,Keane,Arsene Wenger
39,Sun,"Apr 30, 2006",Prem,Bolton Wanderers,(h),0-0,1,0,W,Lennon 60,A Wiley,"36,179",White Hart Lane,4,,,,,,Keane (Robinson),Sam Allardyce
40,Sun,"May 7, 2006",Prem,West Ham United,(a),1-1,1,2,L,"Defoe 35 (Fletcher 10, Benayoun 80)",C Foy,"34,970",Upton Park,5,,,,,,Keane,Alan Pardew
,,,,,,,,,,,,,,,,,,,,,x
,,2006-07,,,,,,,,,,,,,,,,,,,x
1,Sat,"Aug 19, 2006",Prem,Bolton Wanderers,(a),0-2,0,2,L,"(Davies 9, Campo 13)",Phil Dowd,"22,899",Reebok Stadium,n/a,,0,,,0,Robinson,Sam Allardyce
2,Tue,"Aug 22, 2006",Prem,Sheffield United,(h),2-0,2,0,W,"Berbatov 7, Jenas 17",Peter Walton,"35,287",White Hart Lane,n/a,,0,,,0,Keane (Robinson),Neil Warnock
3,Sat,"Aug 26, 2006",Prem,Everton ,(h),0-0,0,2,L,"(Davenport 53og, Johnson 66)",Mark Halsey,"35,540",White Hart Lane,14,,0,,,1,Keane  ,David Moyes
4,Sat,"Sep 9, 2006",Prem,Manchester United,(a),0-1,0,1,L,(Giggs 9),Mike Riley,"75,453",Old Trafford,15,,0,,,0,King (Robinson),Alex Ferguson
