,Day,Date,Competition,Opposition,Ven,HT,FT,FT,Res,Scorers,Referee,Attendance,Ground,LPT,LPO,TP,TR,OP,OR,Captain,Opp Manager
29,Sat,"Dec 29, 2007",Prem,Reading,(h),1-1,6,4,W,"Berbatov 7,63, 73. 83, Malbranque 76, Defoe 79 (Cisse 16, Ingimarsson 53, Kitson 69, 74)",Keith Stroud,"36,178",White Hart Lane,12,,S,0,0,0,"King (Keane, Robinson)",Steve Coppell
30,Tue,"Jan 1, 2008",Prem,Aston Villa,(a),0-1,1,2,L,"Defoe 79 (Mellberg 41, Laursen 85)",Steve Tanner,"41,609",Villa Park,12,,0,0,0,0,Robinson,Martin O'Neill
31,Sat,"Jan 5, 2008",FAC3,Reading,(h),1-1,2,2,D,"Berbatov 28, 50p (Hunt 25, 78)",Mark Clattenburg,"35,243",White Hart Lane,n/a,,1,1,0,0,King,Steve Coppell
32,Wed,"Jan 9, 2008",LCSF.1,Arsenal,(a),1-0,1,1,D,Jenas 37 (Walcott 79),Mike Dean,"53,136",Emirates Stadium,n/a,,0,0,0,0,King,Arsene Wenger
33,Sat,"Jan 12, 2008",Prem,Chelsea,(a),0-1,0,2,L,"(Belletti 19, Wright-Phillips 80)",Alan Wiley,"41,777",Stamford Bridge,12,,0,0,0,0,King,Avram Grant
34,Tue,"Jan 15, 2008",FAC3R,Reading,(a),1-0,1,0,W,Keane 15,Mike Riley,"22,130",Madejski Stadium,n/a,,0,0,0,0,Keane,Steve Coppell
35,Sat,"Jan 19, 2008",Prem,Sunderland,(h),1-0,2,0,W,"Lennon 2, Keane 90",Lee Mason,"36,070",White Hart Lane,11,,0,0,0,0,Defoe (Keane),Roy Keane
36,Tue,"Jan 22, 2008",LCSF.2,Arsenal,(h),2-0,5,1,W,"Jenas 3, Bendtner 27 og, Keane 48, Lennon 60, Malbranque 90 (Adebayor 70)",Howard Webb,"35,979",White Hart Lane,n/a,,0,0,0,0,King,Arsene Wenger
37,Sun,"Jan 27, 2008",FAC4,Manchester United,(a),1-1,1,3,L,"Keane 24 (Tevez 38, Ronaldo 69p, 88)",Peter Walton,"75,369",Old Trafford,n/a,,0,1,1,0,Keane,Alex Ferguson
38,Wed,"Jan 30, 2008",Prem,Everton,(a),0-0,0,0,D,,Andre Marriner,"35,840",Goodison Park,11,,0,0,0,0,Keane,David Moyes
39,Sat,"Feb 2, 2008",Prem,Manchester United,(h),1-0,1,1,D,Berbatov 21 (Tevez 90),Mark Clattenburg,"36,075",White Hart Lane,11,,0,0,0,0,Keane (Jenas),Alex Ferguson
40,Sat,"Feb 9, 2008",Prem,Derby County,(a),0-0,3,0,W,"Keane 68, Kaboul 81, Berbatov 90p",Martin Atkinson,"33,058",Pride Park,11,,1,0,0,0,Keane,Paul Jewell
41,Thu,"Feb 14, 2008",UEFA 3.1,Slavia Prague,(a),2-0,2,1,W,"Berbatov 4, Keane 30 (Strihavka 69)",Claudio Circhetta,"11,134",Stadion Evzena Rosickeho,n/a,,0,0,0,0,Keane (Jenas),Karel Jarolim
42,Thu,"Feb 21, 2008",UEFA 3.2,Slavia Prague,(h),1-0,1,1,D,O'Hara 7 (Krajcik 51),Jonas Eriksson,"34,224",White Hart Lane,n/a,,0,0,0,0,Robinson,Karel Jarolim
43,Sun,"Feb 24, 2008",LCF,Chelsea aet,(n),0-1,2,1,W,"Berbatov 70p, Woodgate 94 (Drogba 39)",Mark Halsey,,Wembley Stadium,n/a,,1,0,0,0,King,Avram Grant
44,Sat,"Mar 1, 2008",Prem,Birmingham City,(a),0-1,1,4,L,"Jenas 90 (Forssell 7, 59, 81, Larsson 55)",Lee Probert,"26,055",St Andrews Stadium,11,,0,0,0,0,Robinson (Keane),Alex McLeish
45,Thu,"Mar 6, 2008",UEFA 4.1,PSV Eindhoven,(h),0-1,0,1,L,Farfan 34,Stephane Lannoy,"33,259",White Hart Lane,n/a,,0,0,0,0,King (Keane),Sef Vergoossen
46,Sun,"Mar 9, 2008",Prem,West Ham United,(h),2-0,4,0,W,"Berbatov 8, 11, Gilberto 85, Bent 90+",Chris Foy,"36,062",White Hart Lane,11,,0,0,0,1,Keane (Robinson),Alan Curbishley
47,Wed,"Mar 12, 2008",UEFA 4.2,PSV Eindhoven a.e.t.,(a),0-0,1,0,W,Berbatov 81,Matteo Trefoloni,"33,000",Phillips Stadion,n/a,,0,0,0,0,"King (Keane, Jenas)",Sef Vergoossen
48,Sun,"Mar 16, 2008",Prem,Manchester City,(a),1-0,1,2,L,"Keane 32 (Ireland 59, Onuoha 72)",Mark Clattenburg,"40,180",City of Manchester Stadium,11,,0,0,0,0,Keane (Robinson),Sven-Goran Erikkson
49,Wed,"Mar 19, 2008",Prem,Chelsea,(h),1-2,4,4,D,"Woodgate 12, Berbatov 61, Huddlestone 75, Keane 88 (Drogba 3, Essien 20, J Cole 52, 80)",Mike Riley,"36,178",White Hart Lane,11,,0,0,0,0,King (Keane),Avram Grant
50,Sat,"Mar 22, 2008",Prem,Portsmouth,(h),0-0,2,0,W,"Bent 80, O'Hara 82",Phil Dowd,"35,998",White Hart Lane,11,,0,0,0,0,Keane (Robinson),Harry Redknapp
51,Sun,"Mar 30, 2008",Prem,Newcastle United,(h),1-1,1,4,L,"Bent 26 (Butt 45, Geremi 52, Owen 65, Martins 83)",Steve Bennett,"36,067",White Hart Lane,11,,0,0,0,0,Keane (Robinson),Kevin Keegan
52,Sat,"Apr 5, 2008",Prem,Blackburn Rovers,(a),1-1,1,1,D,Berbatov 7 (Pedersen 30),Peter Walton,"24,592",Ewood Park,11,,0,0,0,0,Keane (Jenas),Mark Hughes
53,Sat,"Apr 12, 2008",Prem,Middlesbrough,(h),1-0,1,1,D,Grounds 27og (Downing 69),Mark Halsey,"36,092",White Hart Lane,11,,0,0,0,0,Keane,Gareth Southgate
54,Sat,"Apr 19, 2008",Prem,Wigan Athletic,(a),1-1,1,1,D,Berbatov 6 (Heskey 12),Lee Probert,"18,673",JJB Stadium,11,,0,0,0,0,Keane (Jenas),Steve Bruce
55,Sat,"Apr 26, 2008",Prem,Bolton Wanderers,(h),0-0,1,1,D,Malbranque 52 (Giannakopoulos 46),Mark Clattenburg,"36,176",White Hart Lane,11,,0,0,0,0,Keane,Gary Megson
56,Sat,"May 3, 2008",Prem,Reading,(a),1-0,1,0,W,Keane 16,Howard Webb,"24,125",Madejski Stadium,11,,0,0,0,0,Keane (Jenas),Steve Coppell
57,Sun,"May 11, 2008",Prem,Liverpool,(h),0-0,0,2,L,"(Voronin 69, Torres 74)",Uriah Rennie,"36,063",White Hart Lane,11,,0,0,0,0,Keane,Rafael Benitez
,,,,,,,,,,,,,,,,,,,,,
,,2008-2009,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,Sat,"Aug 16, 2008",Prem,Middlesbrough,(a),0-0,1,2,L,"Huth 90+ og (Wheater 71, Mido 86)",Martin Atkinson,"32,623",Riverside Stadium,n/a,n/a,0,0,0,0,Jenas,Gareth Southgate
2,Sat,"Aug 23, 2008",Prem,Sunderland,(h),0-0,1,2,L,"Jenas 73 (Richardson 55, Cisse 82)",Mike Dean,"36,064",White Hart Lane,n/a,n/a,0,0,0,0,King,Roy Keane
3,Sun,"Aug 31, 2008",Prem,Chelsea,(a),1-1,1,1,D,Bent 45 (Belletti 27),Howard Webb,"41,790",Stamford Bridge,19,1,0,0,0,0,King,Luiz Felipe Scolari
4,Mon,"Sep 15, 2008",Prem,Aston Villa,(h),0-1,1,2,L,"Bent 87 (Reo-Coker 5, A Young 54)",Steve Bennett,"36,075",White Hart Lane,20,4,0,0,0,0,Woodgate,Martin O'Neill
5,Thu,"Sep 18, 2008",UEFA 1.1,Wisla Krakow,(h),1-1,2,1,W,"Bentley 33, Bent 73 (Jirsak 34)",Lucilio Batista,"35,751",White Hart Lane,n/a,n/a,0,0,0,0,King,Maciej Skorza
6,Sun,"Sep 21, 2008",Prem,Wigan Athletic,(h),0-0,0,0,D,,Steve Tanner,"35,808",White Hart Lane,20,14,0,0,0,0,Jenas,Steve Bruce
7,Wed,"Sep 24, 2008",LC3,Newcastle United,(a),0-0,2,1,W,"Pavlyuchenko 62, O'Hara 66 (Owen 90)",Chris Foy,"20,577",St James' Park,n/a,n/a,0,0,0,0,King,Chris Hughton (c)
8,Sun,"Sep 28, 2008",Prem,Portsmouth,(a),0-1,0,2,L,"(Defoe 34p, Crouch 68)",Mike Dean,"20,352",Fratton Park,20,9,0,0,1,1,Jenas,Harry Redknapp
9,Thu,"Oct 2, 2008",UEFA 1.2,Wisla Krakow,(a),0-0,1,1,D,Glowacki 58 og (Brosek 83),A Dan Tudor,"15,000",Wisly Stadium,n/a,n/a,0,0,0,0,King,Maciej Skor_a
10,Sun,"Oct 5,2008",Prem,Hull City,(h),0-1,0,1,L,(Geovanni 9),Rob Styles,"36,062",White Hart Lane,20,3,0,0,0,0,Jenas,Phil Brown
11,Sun,"Oct 19, 2008",Prem,Stoke City,(a),1-1,1,2,L,"Bent 25 (Higginbotham 19p, Delap 53)",Lee Mason,"27,500",Brittania Stadium,20,18,0,2,1/m,0,Jenas,Tony Pulis
12,Thu,"Oct 23, 2008",UEFA Gp,Udinese,(a),0-1,0,2,L,"(Di Natale 24p, Pepe 86)",Felix Brych,"22,000",Stadio Friuli,n/a,n/a,0,1,1,0,King,Pasquale Marino
13,Sun,"Oct 26, 2008",Prem,Bolton Wanderers,(h),1-0,2,0,W,"Pavlyuchenko 17, Bent 76p",Andre Marriner,"35,507",White Hart Lane,20,17,1,0,0,1,King,Gary Megson
14,Wed,"Oct 29, 2008",Prem,Arsenal,(a),1-1,4,4,D,"Bentley 13, Bent 67, Jenas 89, Lennon 90 (Silvestre 37, Gallas 46, Adebayor 64, Van Persie 68)",Martin Atkinson,"60,043",Emirates Stadium,20,3,0,0,0,0,Jenas,Arsene Wenger
15,Sat,"Nov 1, 2008",Prem,Liverpool,(h),0-1,2,1,W,"Carragher 69og, Pavlyuchenko 90 (Kuyt 3)",Phil Dowd,"36,183",White Hart Lane,20,2,0,0,0,0,King,Rafael Benitez
16,Thu,"Nov 6, 2008",UEFA Gp,Dynamo Zagreb,(h),2-0,4,0,W,"Bent 30, 33, 70, Huddlestone 59",Fredy Fautrel,"32,788",White Hart Lane,n/a,n/a,0,0,0,0,Woodgate (Dawson),Branko Ivankovic
17,Sun,"Nov 9, 2008",Prem,Manchester City,(a),1-1,2,1,W,"Bent 29, 64 (Robinho 16)",Mike Dean,"41,893",City of Manchester Stadium,16,13,0,1,0,2,King,Mark Hughes
18,Wed,"Nov 12, 2008",LC4,Liverpool,(h),3-0,4,2,W,"Pavlyuchenko 38, 52,Campbell 42, 45 (Plessis 49, Hyypia 63) ",Mike Riley,"33,242",White Hart Lane,n/a,n/a,0,0,0,0,Dawson,Rafael Benitez
19,Sat,"Nov 15, 2008",Prem,Fulham,(a),0-1,1,2,L,"Campbell 81 (Davies 33, Johnson 70)",Alan Wiley,"25,139",Craven Cottage,19,10,0,0,0,0,King,Roy Hodgson
20,Sun,"Nov 23, 2008",Prem,Blackburn Rovers,(h),1-0,1,0,W ,Pavlyuchenko 9,Howard Webb,"35,903",White Hart Lane,16,19,0,0,0,1,King,Paul Ince
21,Thu,"Nov 27, 2008",UEFA Gp,Nijmegen,(a),1-0,1,0,W,O'Hara 14,Cesar Muniz Fernandez,"12,500",De Goffert,n/a,n/a,0,0,0,0,Woodgate,Mario Been
22,Sun,"Nov 30, 2008",Prem,Everton,(h),0-0,0,1,L,(Pienaar 51),Steve Bennett,"35,742",White Hart Lane,16,7,0,0,0,0,King,David Moyes
23,Wed,"Dec 3, 2008",LC5,Watford,(a),1-1,2,1,W,"Pavlyuchenko 45p, Bent 76 (Priskin 13)",Phil Dowd,"16,501",Vicarage Road,n/a,n/a,1,0,0,0,Woodgate,Brendan Rodgers
24,Mon,"Dec 8, 2008",Prem,West Ham United,(a),0-0,2,0,W ,"King 68, O’Hara 89",Chris Foy,"34,277",Upton Park,15,16,0,0,0,0,King,Gianfranco Zola
25,Sat,"Dec 13, 2008",Prem,Manchester United,(h),0-0,0,0,D,,Mike Dean,"35,882",White Hart Lane,15,3,0,0,0,0,"Woodgate (Jenas, Dawson)",Alex Ferguson
26,Thu,"Dec 18, 2008",UEFA Gp,Spartak Moscow,(h),0-2,2,2,D,"Modric 68, Huddlestone 74 (Dzuba 23, 33)",Pedro Proenca,"28,906",White Hart Lane,n/a,n/a,0,0,0,0,Dawson,Michael Laudrup
27,Sun,"Dec 21, 2008",Prem,Newcastle United,(a),1-1,1,2,L,"Modric 28 (N’Zogbia 11, Duff 90)",Andre Marriner,"47,982",St James' Park,16,12,0,0,0,0,King,Joe Kinnear
28,Fri,"Dec 26, 2008",Prem,Fulham,(h),0-0,0,0,D,,Peter Walton,"35,866",White Hart Lane,16,8,0,0,0,0,King,Roy Hodgson
29,Sun,"Dec 28, 2008",Prem,West Bromwich Albion,(a),0-0,0,2,L,"(Bednar 83, Beattie 90)",Steve Tanner,"26,344",The Hawthorns,16,20,0,1,0,0,Woodgate,Tony Mowbray
30,Fri,"Jan 2, 2009",FAC3,Wigan Athletic,(h),0-0,3,1,W,"Pavlyuchenko, 52p, 90, Modric 76 (Camara 88)",Alan Wiley,"34,040",White Hart Lane,n/a,n/a,1,0,0,0,Woodgate,Steve Bruce
31,Tue,"Jan 6, 2009",LCSF.1,Burnley,(h),0-1,4,1,W,"Dawson 47, O’Hara 52, Pavlyuchenko 65, Duff 68 og (Paterson 15)",Martin Atkinson,"31,377",White Hart Lane,n/a,n/a,0,0,0,0,Woodgate,Owen Coyle
32,Sun,"Jan 11, 2009",Prem,Wigan Athletic,(a),0-0,0,1,L,(Figueroa 90),Andre Marriner,"17,500",JJB Stadium,18,7,0,0,0,0,King,Steve Bruce
33,Sun,"Jan 18, 2009",Prem,Portsmouth,(h),0-0,1,1,D,Defoe 70 (Nugent 59),Steve Bennett,"36,011",White Hart Lane,16,12,0,0,0,0,King,Tony Adams
34,Wed,"Jan 21, 2009",LCSF.2,Burnley a.e.t.,(a),0-1,2,3,L,"Pavlyuchenko 118, Defoe 120 (Blake 34, McCann 73, Rodriguez 88)",Mark Halsey,"19,533",Turf Moor,n/a,n/a,0,0,0,0,Woodgate,Owen Coyle
35,Sat,"Jan 24, 2009",FAC4,Manchester United,(a),1-2,1,2,L,"Pavlyuchenko 5 (Scholes 35, Berbatov 36)",Peter Walton,"75,014",Old Trafford,n/a,n/a,0,0,0,0,Dawson,Alex Ferguson
36,Tue,"Jan 27, 2009",Prem,Stoke City,(h),3-0,3,1,W,"Lennon 8, Defoe 21, Dawson 24 (Beattie 57)",Mike Riley,"36,072",White Hart Lane,13,19,0,0,0,0,Woodgate,Tony Pulis
37,Sat,"Jan 31, 2009",Prem,Bolton Wanderers,(a),0-1,2,3,L,"Bent 72, 74 (Puygrenier 31, K Davies 64, 87)",Phil Dowd,"21,575",Reebok Stadium,14,12,0,0,0,0,Woodgate,Gary Megson
38,Sun,"Feb 8, 2009",Prem,Arsenal,(h),0-0,0,0,D,,Mike Dean,"36,021",White Hart Lane,15,5,0,0,0,1,Keane,Arsene Wenger
39,Thu,"Feb 19, 2009",UEFA 3.1,Shakhtar Donetsk ,(a),0-0,0,2,L,"(Seleznov 79, Jadson 88)",Thomas Einwaller,"25,000",RSC Olympiyskiy Stadium,n/a,n/a,0,0,0,0,Jenas,Mircea Lucescu
40,Mon,"Feb 23, 2009",Prem,Hull City,(a),1-1,2,1,W ,"Lennon 17, Woodgate 85 (Turner 27)",Lee Probert,"24,742",Kingston Communications Stadium,14,13,0,0,0,0,Keane,Phil Brown
41,Thu,"Feb 26, 2009",UEFA 3.2,Shakhtar Donetsk ,(h),0-0,1,1,D,Dos Santos 55 (Fernandinho 86),Paolo Tagliavento,"30,595",White Hart Lane,n/a,n/a,0,0,0,0,Huddlestone,Mircea Lucescu
42,Sun,"Mar 1, 2009",LCF,Manchester United (Manchester United won 4-1 on penalties),(n),0-0,0,0,L,,Chris Foy,"88,217",Wembley Stadium,n/a,n/a,0,0,0,0,King,Alex Ferguson
43,Wed,"Mar 4, 2009",Prem,Middlesbrough,(h),3-0,4,0,W,"Keane 9, Pavlyuchenko 14, Lennon 40, 79",Howard Webb,"35,761",White Hart Lane,13,19,0,0,0,0,Keane,Gareth Southgate
44,Sat,"Mar 7, 2009",Prem,Sunderland,(a),0-1,1,1,D,Keane 89 (Richardson 3),Phil Dowd,"37,894",Stadium of Light,12,13,0,0,0,0,Keane,Ricky Sbragia
45,Sun,"Mar 15, 2009",Prem,Aston Villa,(a),1-0,2,1,W,"Jenas 5, Bent 50 (Carew 85)",Steve Bennett,"41,205",Villa Park,11,5,0,0,0,0,Keane,Martin O'Neill
46,Sat,"Mar 21, 2009",Prem,Chelsea,(h),0-0,1,0,W ,Modric 50,Mike Dean,"36,034",White Hart Lane,11,3,0,0,0,0,Keane,Guus Hiddink
47,Sat,"Apr 4, 2009",Prem,Blackburn Rovers,(a),1-0,1,2,L,"Keane 30p (McCarthy 82, Ooijer 89)",Peter Walton,"21,891",Ewood Park,11,14,1,1,0,0,Keane,Sam Allardyce
48,Sat,"Apr 11, 2009",Prem,West Ham United,(h),0-0,1,0,W ,Pavlyuchenko 65,Martin Atkinson,"35,969",White Hart Lane,9,7,0,0,0,0,Keane,Gianfranco Zola
49,Sun,"Apr 19, 2009",Prem,Newcastle United,(h),1-0,1,0,W,Bent 24,Mark Halsey,"35,850",White Hart Lane,9,19,0,0,0,0,Keane,Alan Shearer (c)
50,Sat,"Apr 25, 2009",Prem,Manchester United,(a),2-0,2,5,L,"Bent 29, Modric 32 (Ronaldo 57p, 68, Rooney 67, 71, Berbatov 79)",Howard Webb,"75,458",Old Trafford,10,1,0,0,1,0,Keane (King),Alex Ferguson
51,Sat,"May 2, 2009",Prem,West Bromwich Albion,(h),1-0,1,0,W,Jenas 43,Rob Styles,"35,836",White Hart Lane,10,20,0,0,0,0,Keane,Tony Mowbray
52,Sat,"May 9, 2009",Prem,Everton,(a),0-0,0,0,D,,Lee Mason,"36,646",Goodison Park,8,6,0,0,0,0,Keane,David Moyes
53,Sat,"May 16, 2009",Prem,Manchester City,(h),1-0,2,1,W,"Defoe 29, Keane 86p (Bojinov 65)",Mark Halsey,"36,000",White Hart Lane,8,10,1,0,0,0,Keane,Mark Hughes
54,Sun,"May 24, 2009",Prem,Liverpool,(a),0-1,1,3,L,"Keane 77 (Torres 31, Hutton 64 og, Benayoun 81)",Peter Walton,"43,937",Anfield,8,2,0,0,0,0,Keane,Rafael Benitez
,,,,x,,,,,,,,,x,,,,,,,,
,,2009-10,,x,,,,,,,,,x,,,,,,,,
,,,,x,,,,,,,,,x,,,,,,,,
1,Sun,"Aug 16, 2009",Prem,Liverpool,(h),1-0,2,1,W,"Assou-Ekotto 44, Bassong 59 (Gerrard 56p)",Phil Dowd,"35,935",White Hart Lane,n/a,n/a,0,0,1,0,Keane (King),Rafael Benitez
2,Wed,"Aug 19, 2009",Prem,Hull City,(a),3-1,5,1,W,"Defoe 10, 45, 90, Palacios 14, Keane 78 (Hunt 25)",Chris Foy,"24,735",Kingston Communications Stadium,n/a,n/a,0,0,0,0,Keane (Modric (Defoe)),Phil Brown
3,Sun,"Aug 23, 2009",Prem,West Ham United,(a),0-0,2,1,W,"Defoe 54, Lennon 79 (Cole 49)",Mark Clattenburg,"33,095",Upton Park,1,11,0,0,0,0,Keane (King),Gianfranco Zola
4,Wed,"Aug 26, 2009",LC2,Doncaster Rovers,(a),3-0,5,1,W,"Huddlestone 9, O’Hara 11, Crouch 37, Bentley 52, Pavlyuchenko 69 (Woods 61p)",Russell Booth,"12,923",Keepmoat Stadium,n/a,n/a,0,0,1,0,Corluka,Sean O'Driscoll
5,Sat,"Aug 29, 2009",Prem,Birmingham City ,(h),0-0,2,1,W,"Crouch 72, Lennon 90 (Bowyer 75)",Peter Walton,"35,318",White Hart Lane,2,12,0,0,0,0,Keane,Alex McLeish
6,Sat,"Sep 12, 2009",Prem,Manchester United,(h),1-2,1,3,L,"Defoe 1 (Giggs 25, Anderson 41, Rooney 78)",Andre Marriner,"35,785",White Hart Lane,4,2,0,0,0,1,Keane (King),Alex Ferguson
7,Sun,"Sep 20, 2009",Prem,Chelsea  ,(a),0-1,0,3,L,"(A Cole 32, Ballack 58, Drogba 63)",Howard Webb,"41,623",Stamford Bridge,6,1,0,0,0,0,Keane,Carlo Ancelotti
8,Wed,"Sep 23, 2009",LC3,Preston North End,(a),2-0,5,1,W,"Crouch 14, 77, 90, Defoe 37, Keane 87 (Brown 83)",Phil Dowd,"16,533",Deepdale,n/a,n/a,0,0,0,0,Jenas,Alan Irvine
9,Sat ,"Sep 26, 2009",Prem,Burnley ,(h),2-0,5,0,W,"Keane 18 p, 74, 77, 87, Jenas 33",Mike Dean,"35,462",White Hart Lane,4,11,1,0,0,0,Keane,Owen Coyle
10,Sat,"Oct 3, 2009",Prem,Bolton Wanderers ,(a),1-1,2,2,D,"Kranjcar 34, Corluka 73 (Gardner 3, K Davies 69)",Michael Jones,"21,305",Reebok Stadium,3,13,0,0,0,0,Keane (Jenas),Gary Megson
11,Sat,"Oct 17, 2009",Prem,Portsmouth ,(a),2-0,2,1,W,"King 29, Defoe 45 (Boateng 59)",Phil Dowd,"20,821",Fratton Park,3,20,0,1,0,1,Keane (King),Paul Hart
12,Sat,"Oct 24, 2009",Prem,Stoke City,(h),0-0,0,1,L,(Whelan 86),Lee Probert,"36,031",White Hart Lane,4,9,0,0,0,0,"Keane (Huddlestone, Jenas)",Tony Pulis
13,Tue,"Oct 27, 2009",LC4,Everton  ,(h),1-0,2,0,W,"Huddlestone 31, Keane 57",Lee Mason,"35,843",White Hart Lane,n/a,n/a,m,0,0,0,Keane,David Moyes
14,Sat,"Oct 31, 2009",Prem,Arsenal ,(a),0-2,0,3,L,"(Van Persie 42, 60, Fabregas 43)",Mark Clattenburg,"60,103",Emirates Stadium,5,3,0,0,0,0,Keane (King),Arsene Wenger
15,Sat,"Nov 7, 2009",Prem,Sunderland  ,(h),1-0,2,0,W,"Keane 12, Huddlestone 68",Kevin Friend,"35,955",White Hart Lane,4,8,0,0,m,0,Keane (Jenas),Steve Bruce
16,Sun,"Nov 22, 2009",Prem,Wigan Athletic,(h),1-0,9,1,W,"Crouch 9, Defoe 51, 54, 58, 69, 87, Lennon 64, Bentley 88, Kranjcar 90 (Scharner 57)",Peter Walton,"35,650",White Hart Lane,4,15,0,0,0,0,Woodgate,Roberto Martinez
17,Sat,"Nov 28, 2009",Prem,Aston Villa ,(a),0-1,1,1,D,Dawson 77 (Agbonlahor 10),Phil Dowd,"39,866",Villa Park,3,6,0,0,0,0,Dawson,Martin O'Neill
18,Tue,"Dec 1, 2009",LC5,Manchester United,(a),0-2,0,2,L,"(Gibson 16, 38)",Mark Clattenburg,"57,212",Old Trafford,n/a,n/a,0,0,0,0,Keane (Dawson),Alex Ferguson
19,Sun,"Dec 6, 2009",Prem,Everton  ,(a),0-0,2,2,D,"Defoe 47, Dawson 59 (Saha 78, Cahill 86)",Andre Marriner,"34,003",Goodison Park,4,15,m,0,0,0,Dawson,David Moyes
20,Sat,"Dec 12, 2009",Prem,Wolverhampton Wand,(h),0-1,0,1,L,(Doyle 3),Stuart Attwell,"36,012",White Hart Lane,5,17,0,0,0,0,Keane (Dawson),Mick McCarthy
21,Wed,"Dec 16, 2009",Prem,Manchester City ,(h),1-0,3,0,W,"Kranjcar 37, 90, Defoe 54",Alan Wiley,"35,891",White Hart Lane,5,8,0,0,0,0,Dawson,Mark Hughes
22,Sat,"Dec 19, 2009",Prem,Blackburn Rovers,(a),1-0,2,0,W,"Crouch 45, 83",Peter Walton,"26,490",Ewood Park,5,13,0,0,0,0,Dawson,Sam Allardyce
23,Sat,"Dec 26, 2009",Prem,Fulham ,(a),0-0,0,0,D,,Steve Bennett,"25,679",Craven Cottage,5,9,0,0,0,0,Keane (Dawson),Roy Hodgson
24,Mon,"Dec 28, 2009",Prem,West Ham United,(h),1-0,2,0,W,"Modric 11, Defoe 81",Chris Foy,"35,994",White Hart Lane,4,17,0,0,0,0,King,Gianfranco Zola
25,Sat,"Jan 2, 2010",FAC3,Peterborough United,(h),1-0,4,0,W,"Kranjcar 35,57, Defoe 70, Keane 90p",Lee Mason,"35,862",White Hart Lane,n/a,n/a,1,0,0,0,Keane,Mark Cooper
26,Sat,"Jan 16, 2010",Prem,Hull City,(h),0-0,0,0,D,,Martin Atkinson,"35,729",White Hart Lane,4,18,0,0,0,0,Keane (Dawson),Phil Brown
27,Wed,"Jan 20, 2010",Prem,Liverpool,(a),0-1,0,2,L,"(Kuyt 6, 90p)",Howard Webb,"42,016",Anfield,4,6,0,0,1,0,King (Keane),Rafael Benitez
28,Sat,"Jan 23, 2010",FAC4,Leeds United,(h),1-0,2,2,D,"Crouch 42, Pavlyuchenko 75 (Beckford 52, 90p)",Alan Wiley,"35,750",White Hart Lane,n/a,n/a,s,0,1,0,Dawson,Simon Grayson
29,Tue,"Jan 26, 2010",Prem,Fulham ,(h),1-0,2,0,W,"Crouch 27, Bentley 60",Mike Dean,"35,467",White Hart Lane,4,10,0,0,0,0,King,Roy Hodgson
30,Sat,"Jan 30, 2010",Prem,Birmingham City ,(a),0-0,1,1,D,Defoe 69 (Ridgewell 90),Stuart Attwell,"27,238",St Andrews,4,8,0,0,0,0,King,Alex McLeish
31,Wed,"Feb 3, 2010",FAC4R,Leeds United,(a),1-1,3,1,W,"Defoe 37, 73, 90 (Becchio 45)",Andre Marriner,"37,704",Elland Road,n/a,n/a,0,0,0,0,Dawson,Simon Grayson
32,Sat,"Feb 6, 2010",Prem,Aston Villa ,(h),0-0,0,0,D,,Chris Foy,"35,899",White Hart Lane,5,7,0,0,0,0,King,Martin O'Neill
33,Wed,"Feb 10, 2010",Prem,Wolverhampton Wand ,(a),0-1,0,1,L,(Jones 27),Mark Clattenburg,"27,992",Molineux,6,15,0,0,0,0,Dawson,Mick McCarthy
34,Sat,"Feb 13, 2010",FAC5,Bolton Wanderers ,(a),0-1,1,1,D,Defoe 61 (K Davies 34),Phil Dowd,"13,596",Reebok Stadium,n/a,n/a,s,0,0,0,King,Owen Coyle
35,Sun,"Feb 21, 2010",Prem,Wigan Athletic,(a),1-0,3,0,W,"Defoe 27, Pavlyuchenko 84, 90(+3)",Alan Wiley,"16,165",DW Stadium,4,15,0,0,0,0,King (Dawson),Roberto Martinez
36,Wed,"Feb 24, 2010",FAC5R,Bolton Wanderers ,(h),2-0,4,0,W,"Pavlyuchenko 23, 87, Jaaskelainen 35 og, O’Brien 47 og",Peter Walton,"31,346",White Hart Lane,n/a,n/a,0,0,0,0,Dawson,Owen Coyle
37,Sun,"Feb 28, 2010",Prem,Everton  ,(h),2-0,2,1,W,"Pavlyuchenko 11, Modric 28 (Yakubu 55)",Steve Bennett,"35,912",White Hart Lane,4,10,0,0,0,0,Dawson,David Moyes
38,Sat,"Mar 6, 2010",FAC6,Fulham ,(a),0-0,0,0,D,,Mark Clattenburg,"24,533",Craven Cottage,n/a,n/a,0,0,0,0,Dawson,Roy Hodgson
39,Sat,"Mar 13, 2010",Prem,Blackburn Rovers ,(h),1-0,3,1,W,"Defoe 45, Pavlyuchenko 55, 85 (Samba 80)",Howard Webb,"35,474",White Hart Lane,4,12,0,0,0,0,Dawson,Sam Allardyce
40,Sat,"Mar 20, 2010",Prem,Stoke City  ,(a),0-0,2,1,W,"Gudjohnsen 46, Kranjcar 77 (Etherington 64p)",Mike Dean,"27,575",Britannia Stadium,4,11,0,0,1,1,Dawson,Tony Pulis
